seasonType,year,seasonName,seasonSlug,leagueId,midsizeName,leagueName,leagueShortName
12337,2024,"2024 Copa Argentina, Round of 16",round-of-16,8107,ARG.COPA,Copa Argentina,Copa Argentina
12336,2024,"2024 Copa Argentina, Quarterfinals",quarterfinals,8107,ARG.COPA,Copa Argentina,Copa Argentina
12335,2024,"2024 Copa Argentina, Semifinals",semifinals,8107,ARG.COPA,Copa Argentina,Copa Argentina
12334,2024,"2024 Copa Argentina, Final",final,8107,ARG.COPA,Copa Argentina,Copa Argentina
12338,2024,"2024 Copa Argentina, Round of 32",round-of-32,8107,ARG.COPA,Copa Argentina,Copa Argentina
13182,2024,"2024 Argentine Supercopa, 2024 Argentine Supercopa Internacional",2024-argentine-supercopa-internacional,8346,ARG.SUPERCOPA,Argentine Supercopa,Argentine Supercopa
13183,2024,"2024 Argentine Supercopa, 2024 Argentine Supercopa",2024-argentine-supercopa,8346,ARG.SUPERCOPA,Argentine Supercopa,Argentine Supercopa
13000,2024,2024 Argentine Trofeo de Campeones - Final,2024-argentine-trofeo-de-campeones---final,19705,ARG.TROFEO_DE_LA_CAMPEONES,Argentine Trofeo de Campeones,Trofeo de Campeones de la Superliga
12848,2024,2024 Australian A-League Men,,3906,AUS.1,Australian A-League Men,A-League Men
12849,2024,2024 Australian A-League Men,,3906,AUS.1,Australian A-League Men,A-League Men
12850,2024,2024 Australian A-League Men,,3906,AUS.1,Australian A-League Men,A-League Men
12851,2024,"2024-25 Australian A-League Men, Regular Season",regular-season,3906,AUS.1,Australian A-League Men,A-League Men
12915,2024,"2024-25 Australian A-League Women, Regular Season",regular-season,18992,AUS.W.1,Australian A-League Women,A-League Women
12743,2024,"2024-25 Austrian Bundesliga, Regular Season",regular-season,3907,AUT.1,Austrian Bundesliga,Austrian Bundesliga
12643,2024,"2024-25 Belgian Pro League, Regular Season",regular-season,3901,BEL.1,Belgian Pro League,Belgian Pro League
12407,2024,"2024 Liga Profesional Boliviana, Apertura",apertura,620,BOL.1,Bolivian Liga Profesional,Bolivian Liga Profesional
12403,2024,"2024 Liga Profesional Boliviana, Clausura",clausura,620,BOL.1,Bolivian Liga Profesional,Bolivian Liga Profesional
12406,2024,"2024 Liga Profesional Boliviana, Apertura - Quarterfinals",apertura---quarterfinals,620,BOL.1,Bolivian Liga Profesional,Bolivian Liga Profesional
